track_id,time_s,source,intensity
s00667a,25,self_report,
s00667a,220,self_report,
s00667a,300,self_report,
s00667a,340,self_report,
s00667a,390,self_report,
s00479,16,self_report,
s00479,122,self_report,
s00479,156,self_report,
s00471,75,self_report,
s00471,180,self_report,
s00471,190,self_report,
s00471,248,self_report,
s00145,86,self_report,
s00145,123,self_report,
s00145,129,self_report,
s00145,270,self_report,
s00382,122,self_report,
s00258,123,self_report,
s00812,46,self_report,
s00812,50,self_report,
s00358,147,self_report,
s00410,70,self_report,
s00410,100,self_report,
s00410,214,self_report,
s00410,222,self_report,
s00410,235,self_report,
s00148,208,self_report,
s00608,52,self_report,
s00608,70,self_report,
s00608,82,self_report,
s00205,75,self_report,
s00205,173,self_report,
s00205,255,self_report,
s00118,27,self_report,
s00118,217,self_report,
s00118,261,self_report,
s00683,85,self_report,
s00683,150,self_report,
s00644,382,self_report,
