track_id,audio_path,midi_path,artist,title
s00667a,audio/s00667a.wav,,Samuel Barber,Adagio for Strings
s00479,audio/s00479.wav,,Ludwig van Beethoven,Symphony No. 5 in C minor Op. 67 (Mvt. 2)
s00471,audio/s00471.wav,,Ludwig van Beethoven,Piano Sonata No. 14 Moonlight Op. 27 No. 2
s00145,audio/s00145.wav,,Claude Debussy,Suite Bergamasque - Clair de Lune
s00382,audio/s00382.wav,,Johann Pachelbel,Canon in D
s00258,audio/s00258.wav,,Frederic Chopin,Ballade No. 1 in G minor Op. 23
s00812,audio/s00812.wav,,Wolfgang Amadeus Mozart,Requiem in D minor K. 626 (Lacrimosa)
s00358,audio/s00358.wav,,James Horner,My Heart Will Go On
s00410,audio/s00410.wav,,John Williams,Across the Stars
s00148,audio/s00148.wav,,Clint Mansell,Lux Aeterna
s00608,audio/s00608.wav,,Pyotr Ilyich Tchaikovsky,Violin Concerto in D major Op. 35 (Mvt. 1)
s00205,audio/s00205.wav,,Edward Elgar,Cello Concerto in E minor Op. 85 (Mvt. 1)
s00118,audio/s00118.wav,,Camille Saint-Saens,Danse macabre Op. 40
s00683,audio/s00683.wav,,Sergei Rachmaninoff,Rhapsody on a Theme of Paganini Op. 43
s00644,audio/s00644.wav,,Richard Wagner,Lohengrin WWV 75 (Prelude to Act 1)
